timestamp,test-class,test-method,time,description,result
2021-05-30 18:32:52.174,acme.testing.dashboard.DashboardShowTest,showPositive,20100,"showPositive()",OK
2021-05-30 18:32:53.037,acme.testing.dashboard.DashboardShowTest,showNegative,594,"showNegative()",OK
2021-05-30 18:33:08.865,acme.testing.workplan.ManagerWorkplanChangePrivacyServiceTest,changeWorkplantoPrivatePositive,6213,"[1] id=0, version=1, execution_period_initial_date=2021-04-11 08:15:00, execution_period_final_date=2022-12-24 17:30:00, isPrivate=0, title=Workplan 1, user_account_id=67, workload=504",OK
2021-05-30 18:33:14.906,acme.testing.workplan.ManagerWorkplanChangePrivacyServiceTest,changeWorkplanToPublicPositive,5693,"[1] id=7, version=1, execution_period_initial_date=2021-04-12 10:15:00, execution_period_final_date=2021-04-21 15:30:00, isPrivate=1, title=Workplan 15, user_account_id=68, workload=0",OK
2021-05-30 18:33:20.815,acme.testing.workplan.ManagerWorkplanChangePrivacyServiceTest,changeWorkplanToPublicNegative,5639,"[1] id=2, version=1, execution_period_initial_date=2021-04-01 08:14:00, execution_period_final_date=2021-04-21 06:15:00, isPrivate=1, title=Workplan 13, user_account_id=67, workload=750",OK
2021-05-30 18:33:35.763,acme.testing.workplan.ManagerWorkplanDeleteServiceTest,deleteWorkplanPositive,5619,"[1] id=2, version=1, execution_period_initial_date=2021-12-23 16:30:00, execution_period_final_date=2021-10-24 06:15:00, isPrivate=1, title=Workplan 13, user_account_id=67, workload=2",OK
2021-05-30 18:33:39.69,acme.testing.workplan.ManagerWorkplanDeleteServiceTest,deleteAWorkplanThatDoesntExist,3610,"deleteAWorkplanThatDoesntExist()",OK
2021-05-30 18:33:40.237,acme.testing.workplan.ManagerWorkplanDeleteServiceTest,deleteWorkplanThatIDontOwn,283,"deleteWorkplanThatIDontOwn()",OK
2021-05-30 18:33:55.783,acme.testing.workplan.ManagerWorkplanShowServiceTest,showWorkplanManagerPositive,6103,"[1] id=0, version=1, execution_period_final_date=12/24/22 5:30 PM, execution_period_initial_date=4/11/21 8:15 AM, isPrivate=0, title=Workplan 1, user_account_id=67, workload=504.00",OK
2021-05-30 18:33:59.869,acme.testing.workplan.ManagerWorkplanShowServiceTest,showWorkplanManagerNegative,3791,"[1] id=0, version=1, execution_period_initial_date=12/24/22 5:30 PM, execution_period_final_date=4/11/21 8:15 AM, isPrivate=0, title=Workplan 1, user_account_id=67, workload=504.00",OK
2021-05-30 18:34:17.512,acme.testing.workplan.ManagerWorkplanUpdateServiceTest,updateWorkplanManagerPositive,8674,"[1] id=0, version=1, execution_period_final_date=12/24/22 5:30 PM, execution_period_initial_date=4/11/21 8:15 AM, isPrivate=0, title=Workplan 1, user_account_id=67, workload=504.00",OK
2021-05-30 18:34:23.887,acme.testing.workplan.ManagerWorkplanUpdateServiceTest,updateWorkplanManagerNegativeSpamTitleInvalidDateFormat,6081,"[1] id=0, version=1, execution_period_final_date=12/24/22 5:30 PM, execution_period_initial_date=4/11/21 8:15 AM, isPrivate=0, title=Workplan 1, user_account_id=67, workload=504.00",OK
