timestamp,test-class,test-method,time,description,result
2021-09-09 12:31:43.702,acme.testing.controlcheck.DashboardShowTest,showPositive,18344,"showPositive()",OK
2021-09-09 12:31:44.464,acme.testing.controlcheck.DashboardShowTest,showNegative,352,"showNegative()",OK
2021-09-09 12:31:58.264,acme.testing.controlcheck.AnonymousShoutCreateTest,createNegativeLink,2645,"[1] author=Mariano Manuel, text=¡soy una super programadora!, link=nosoyunenlace, sergiolo4=EUR 23.00, sergiolo5=true",OK
2021-09-09 12:32:00.944,acme.testing.controlcheck.AnonymousShoutCreateTest,createNegativeLink,2343,"[2] author=Lucia Nieto, text=¡soy una super programadora!, link=hvgbhp://lucianieto, sergiolo4=USD 23.00, sergiolo5=false",OK
2021-09-09 12:32:03.585,acme.testing.controlcheck.AnonymousShoutCreateTest,createNegativeLink,2317,"[3] author=Maria Nieto, text=¡soy una super programadora!, link=lucianieto.org, sergiolo4=USD 23.00, sergiolo5=false",OK
2021-09-09 12:32:06.444,acme.testing.controlcheck.AnonymousShoutCreateTest,createNegativeText,2546,"[1] author=Mariano Manuel, text=null, link=http://lucianieto.org, sergiolo4=EUR 23.00, sergiolo5=true",OK
2021-09-09 12:32:09.415,acme.testing.controlcheck.AnonymousShoutCreateTest,createNegativeText,2619,"[2] author=Lucia Nieto, text=¡soy una super programadora!¡soy una super programadora!¡soy una super programadora!¡soy una super programadora!¡soy una super programadora!¡soy una super programadora!¡soy una super programadora!¡soy una super programadora!¡soy una super programadora!¡soy una super programadora!¡soy una super programadora!¡soy una super programadora!¡soy una super programadora!¡soy una super programadora!¡soy una super programadora!¡soy una super programadora!¡soy una super programadora!¡soy una super programadora!, link=http://lucianieto.org, sergiolo4=USD 23.00, sergiolo5=false",OK
2021-09-09 12:32:12.331,acme.testing.controlcheck.AnonymousShoutCreateTest,createNegativeText,2579,"[3] author=Sergio Nieto, text=sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex, link=http://sergionieto.org, sergiolo4=USD 23.00, sergiolo5=true",OK
2021-09-09 12:32:15.286,acme.testing.controlcheck.AnonymousShoutCreateTest,createNegativeSergiolo2,2595,"[1] author=Mariano Manuel, text=¡soy una super programadora!, link=http://lucianieto.org, sergiolo2=aaaz:20:0909, sergiolo4=EUR 23.00, sergiolo5=true",OK
2021-09-09 12:32:17.935,acme.testing.controlcheck.AnonymousShoutCreateTest,createNegativeSergiolo2,2334,"[2] author=Lucia Nieto, text=¡soy una super programadora!, link=http://lucianieto.org, sergiolo2=aaaw:21:0709, sergiolo4=USD 23.00, sergiolo5=false",OK
2021-09-09 12:32:20.822,acme.testing.controlcheck.AnonymousShoutCreateTest,createNegativeSergiolo2,2535,"[3] author=Sergio Nieto, text=¡soy un super programador!, link=http://sergionieto.org, sergiolo2=aaaJ:21:0906, sergiolo4=USD 23.00, sergiolo5=true",OK
2021-09-09 12:32:23.791,acme.testing.controlcheck.AnonymousShoutCreateTest,createNegativeSergiolo2,2632,"[4] author=Antonio Nieto, text=¡soy un super programador sin dinero!, link=http://antonionieto.org, sergiolo2=AAAAA:21:0909, sergiolo4=USD 23.00, sergiolo5=true",OK
2021-09-09 12:32:26.861,acme.testing.controlcheck.AnonymousShoutCreateTest,createNegativeSergiolo2,2745,"[5] author=Antonio Nieto, text=¡soy un super programador sin dinero!, link=http://antonionieto.org, sergiolo2=:21:0909, sergiolo4=USD 23.00, sergiolo5=true",OK
