timestamp,test-class,test-method,time,description,result
2021-09-08 20:21:27.805,acme.testing.controlCheck.AnonymousShoutCreateTest,createNegativeSergiolo2,2425,"[1] author=test sample1, text=text for test sample1, link=http://this.is.a.link.for.test.sample1, sergiolo2=negative format, sergiolo4=230 EUR",OK
2021-09-08 20:21:30.582,acme.testing.controlCheck.AnonymousShoutCreateTest,createNegativeSergiolo2,2297,"[2] author=test sample1, text=text for test sample1, link=http://this.is.a.link.for.test.sample1, sergiolo2=2222222, sergiolo4=230 EUR",OK
2021-09-08 20:21:33.194,acme.testing.controlCheck.AnonymousShoutCreateTest,createNegativeSergiolo2,2268,"[3] author=test sample1, text=text for test sample1, link=http://this.is.a.link.for.test.sample1, sergiolo2=212121/xx/aa, sergiolo4=230 EUR",OK
2021-09-08 20:21:35.932,acme.testing.controlCheck.AnonymousShoutCreateTest,createNegativeSergiolo2,2392,"[4] author=test sample1, text=text for test sample1, link=http://this.is.a.link.for.test.sample1, sergiolo2=210901/xx/aa, sergiolo4=230 EUR",OK
2021-09-08 20:21:38.615,acme.testing.controlCheck.AnonymousShoutCreateTest,createNegativeSergiolo3,2293,"[1] author=test sample1, text=text for test sample1, link=http://this.is.a.link.for.test.sample1, sergiolo4=230 EUR, sergiolo3=10/10/10 10:00 PM",OK
2021-09-08 20:21:41.342,acme.testing.controlCheck.AnonymousShoutCreateTest,createNegativeSergiolo3,2353,"[2] author=test sample1, text=text for test sample1, link=http://this.is.a.link.for.test.sample1, sergiolo4=230 EUR, sergiolo3=10/10/10 10:00PM",OK
2021-09-08 20:21:43.957,acme.testing.controlCheck.AnonymousShoutCreateTest,createNegativeSergiolo3,2239,"[3] author=test sample1, text=text for test sample1, link=http://this.is.a.link.for.test.sample1, sergiolo4=230 EUR, sergiolo3=negative test",OK
2021-09-08 20:21:46.758,acme.testing.controlCheck.AnonymousShoutCreateTest,createNegativeSergiolo3,2395,"[4] author=test sample1, text=text for test sample1, link=http://this.is.a.link.for.test.sample1, sergiolo4=230 EUR, sergiolo3=08/09/2026 14:35",OK
2021-09-08 20:21:51.917,acme.testing.controlCheck.AnonymousShoutCreateTest,createPositive,4816,"[1] author=Lucia, text=¡soy una super programadora!, link=http://lucianieto.org, sergiolo2=/03/aa, sergiolo4=EUR 200.00, sergiolo5=true, index=0",OK
2021-09-08 20:21:57.016,acme.testing.controlCheck.AnonymousShoutCreateTest,createPositive,4686,"[2] author=Antonio, text=¡hola!, link=http://google.org, sergiolo2=/03/bb, sergiolo4=USD 200.00, sergiolo5=false, index=0",OK
