timestamp,test-class,test-method,time,description,result
2021-09-06 18:41:13.947,acme.testing.anonymous.task.AnonymousTaskTest,listMineTaskAnonymousPositive,2495,"[1] id=0, version=1, description=sample description, execution_period_final_date=6/30/21 3:30 PM, execution_period_initial_date=5/12/21 10:15 AM, isPrivate=0, title=sample test 1, url=https://github.com/serrojjim/dp2-june-16, workload=2.0, user_account_id=63",Expected value '5/12/21 10:15 AM' in attribute 1 of record 0, but found '9/5/21 10:15 AM'
2021-09-06 18:41:15.786,acme.testing.anonymous.task.AnonymousTaskTest,listMineTaskAnonymousPositive,1389,"[2] id=1, version=1, description=sample description, execution_period_final_date=6/30/21 3:30 PM, execution_period_initial_date=5/12/21 10:15 AM, isPrivate=0, title=sample task 2, url=https://github.com/serrojjim/dp2-june-16.com, workload=2.0, user_account_id=63",Expected value '5/12/21 10:15 AM' in attribute 1 of record 1, but found '9/5/21 10:15 AM'
2021-09-06 18:41:27.074,acme.testing.anonymous.task.AnonymousTaskShowServiceTest,showTaskAnonymousNegativeNonExist,704,"showTaskAnonymousNegativeNonExist()",OK
2021-09-06 18:41:28.967,acme.testing.anonymous.task.AnonymousTaskShowServiceTest,ShowTaskAnonymousPositive,1415,"[1] id=0, version=1, description=sample description, execution_period_final_date=6/30/21 3:30 PM, execution_period_initial_date=5/12/21 10:15 AM, isPrivate=0, title=sample test 1, url=https://github.com/serrojjim/dp2-june-16, workload=2.0, user_account_id=63",Expected value '6/30/21 3:30 PM' in attribute 2 of record 0, but found '11/30/21 3:30 PM'
2021-09-06 18:41:30.659,acme.testing.anonymous.task.AnonymousTaskShowServiceTest,ShowTaskAnonymousPositive,1335,"[2] id=1, version=1, description=sample description, execution_period_final_date=6/30/21 3:30 PM, execution_period_initial_date=5/12/21 10:15 AM, isPrivate=0, title=sample task 2, url=https://github.com/serrojjim/dp2-june-16.com, workload=2.0, user_account_id=63",Expected value '6/30/21 3:30 PM' in attribute 2 of record 1, but found '11/30/21 3:30 PM'
2021-09-06 18:41:31.489,acme.testing.anonymous.task.AnonymousTaskShowServiceTest,showTaskAnonymousNegativeFinished,471,"showTaskAnonymousNegativeFinished()",OK
