timestamp,test-class,test-method,time,description,result
2021-09-06 17:46:09.835,acme.testing.manager.task.ManagerTaskDeleteServiceTest,deleteTaskPositive,8125,"[1] id=0, version=1, description=sample test 1, execution_period_initial_date=4/27/21 3:38 PM, execution_period_final_date=5/27/21 3:38 PM, isPrivate=0, title=sample test 1, url=https://www.google.com, workload=2.0, user_account_id=63",OK
2021-09-06 17:46:14.59,acme.testing.manager.task.ManagerTaskDeleteServiceTest,showWorkplanmanagerNegativeNonExist,4349,"showWorkplanmanagerNegativeNonExist()",OK
2021-09-06 17:46:18.826,acme.testing.manager.task.ManagerTaskDeleteServiceTest,showWorkplanmanagerNegative,3889,"showWorkplanmanagerNegative()",OK
2021-09-06 17:46:34.195,acme.testing.manager.task.ManagerTaskListServiceTest,listMineTaskManagerPositive,5007,"[1] id=0, version=1, description=anonymous, execution_period_initial_date=4/21/21 3:30 PM, execution_period_final_date=4/12/21 10:15 AM, isPrivate=0, title=anonymous 2, url=https://github.com/serrojjim/dp2-june-16.com, workload=4.0, user_account_id=21",OK
2021-09-06 17:46:39.59,acme.testing.manager.task.ManagerTaskListServiceTest,listMineTaskManagerPositive,5009,"[2] id=1, version=1, description=Deploy our App in clevercloud, execution_period_initial_date=5/17/21 3:15 PM, execution_period_final_date=5/17/21 10:15 AM, isPrivate=0, title=Deploy App, url=https://www.clevercloud.com, workload=2.0, user_account_id=69",OK
2021-09-06 17:46:56.356,acme.testing.manager.task.ManagerTaskCreateServiceTest,createTaskManagerNegativeUpperWorkload,5910,"[1] id=17, version=1, description=sample test 1, execution_period_initial_date=4/27/22 4:38 PM, execution_period_final_date=4/27/22 3:38 PM, isPrivate=0, title=sample test 1, url=https://www.google.com, workload=1000, user_account_id=63",OK
2021-09-06 17:47:02.534,acme.testing.manager.task.ManagerTaskCreateServiceTest,createTaskManagerNegativeWorkload,5820,"[1] id=21, version=1, description=sample test 1, execution_period_initial_date=4/27/22 3:38 PM, execution_period_final_date=5/27/22 3:38 PM, isPrivate=0, title=sample test 1, url=https://www.google.com, workload=-2.0, user_account_id=63",OK
2021-09-06 17:47:11.894,acme.testing.manager.task.ManagerTaskCreateServiceTest,createTaskManagerPositive,8911,"[1] id=10, version=1, description=sample test 1, execution_period_initial_date=4/27/22 3:38 PM, execution_period_final_date=5/27/22 3:38 PM, isPrivate=0, title=sample test 1, url=https://www.google.com, workload=2.0, user_account_id=63",OK
2021-09-06 17:47:18.129,acme.testing.manager.task.ManagerTaskCreateServiceTest,createTaskManagerNegativeSpam,5872,"[1] id=17, version=1, description=sex sex sex sex sex sex, execution_period_initial_date=4/27/22 3:38 PM, execution_period_final_date=5/27/22 3:38 PM, isPrivate=0, title=sex sex sex sex sex sex, url=https://www.google.com, workload=2, user_account_id=63",OK
2021-09-06 17:47:24.219,acme.testing.manager.task.ManagerTaskCreateServiceTest,createTaskManagerNegativeInitialDate,5742,"[1] id=21, version=1, description=test sample 1, execution_period_initial_date=4/27/20 3:38 PM, execution_period_final_date=5/27/21 3:38 PM, isPrivate=0, title=test sample 1, url=https://www.google.com, workload=0, user_account_id=63",OK
