timestamp,test-class,test-method,time,description,result
2021-09-07 17:58:58.562,acme.testing.dashboard.DashboardShowTest,showPositive,18231,"showPositive()",OK
2021-09-07 17:58:59.22,acme.testing.dashboard.DashboardShowTest,showNegative,408,"showNegative()",OK
2021-09-07 17:59:12.791,acme.testing.workplan.ManagerWorkplanChangePrivacyServiceTest,changeWorkplantoPrivatePositive,5538,"[1] id=0, version=1, execution_period_initial_date=2021-04-11 08:15:00, execution_period_final_date=2022-12-24 17:30:00, isPrivate=0, title=Workplan 1, user_account_id=67, workload=504",OK
2021-09-07 17:59:18.554,acme.testing.workplan.ManagerWorkplanChangePrivacyServiceTest,changeWorkplanToPublicPositive,5502,"[1] id=7, version=1, execution_period_initial_date=2021-04-12 10:15:00, execution_period_final_date=2021-04-21 15:30:00, isPrivate=1, title=Workplan 15, user_account_id=68, workload=0",OK
2021-09-07 17:59:24.377,acme.testing.workplan.ManagerWorkplanChangePrivacyServiceTest,changeWorkplanToPublicNegative,5541,"[1] id=2, version=1, execution_period_initial_date=2021-04-01 08:14:00, execution_period_final_date=2021-04-21 06:15:00, isPrivate=1, title=Workplan 13, user_account_id=67, workload=750",OK
2021-09-07 17:59:37.772,acme.testing.workplan.ManagerWorkplanDeleteServiceTest,deleteWorkplanPositive,5486,"[1] id=2, version=1, execution_period_initial_date=2021-12-23 16:30:00, execution_period_final_date=2021-10-24 06:15:00, isPrivate=1, title=Workplan 13, user_account_id=67, workload=2",OK
2021-09-07 17:59:41.468,acme.testing.workplan.ManagerWorkplanDeleteServiceTest,deleteAWorkplanThatDoesntExist,3469,"deleteAWorkplanThatDoesntExist()",OK
2021-09-07 17:59:41.943,acme.testing.workplan.ManagerWorkplanDeleteServiceTest,deleteWorkplanThatIDontOwn,245,"deleteWorkplanThatIDontOwn()",OK
2021-09-07 17:59:55.733,acme.testing.workplan.ManagerWorkplanShowServiceTest,showWorkplanManagerPositive,5964,"[1] id=0, version=1, execution_period_final_date=12/24/22 5:30 PM, execution_period_initial_date=4/11/21 8:15 AM, isPrivate=0, title=Workplan 1, user_account_id=67, workload=504.00",OK
2021-09-07 17:59:59.467,acme.testing.workplan.ManagerWorkplanShowServiceTest,showWorkplanManagerNegative,3478,"[1] id=0, version=1, execution_period_initial_date=12/24/22 5:30 PM, execution_period_final_date=4/11/21 8:15 AM, isPrivate=0, title=Workplan 1, user_account_id=67, workload=504.00",OK
