timestamp,test-class,test-method,time,description,result
2021-09-06 17:52:26.761,acme.testing.manager.task.ManagerTaskCreateServiceTest,createTaskManagerNegativeUpperWorkload,6027,"[1] id=17, version=1, description=sample test 1, execution_period_initial_date=4/27/22 4:38 PM, execution_period_final_date=4/27/22 3:38 PM, isPrivate=0, title=sample test 1, url=https://www.google.com, workload=1000, user_account_id=63",OK
2021-09-06 17:52:32.942,acme.testing.manager.task.ManagerTaskCreateServiceTest,createTaskManagerNegativeWorkload,5790,"[1] id=21, version=1, description=sample test 1, execution_period_initial_date=4/27/22 3:38 PM, execution_period_final_date=5/27/22 3:38 PM, isPrivate=0, title=sample test 1, url=https://www.google.com, workload=-2.0, user_account_id=63",OK
2021-09-06 17:52:41.658,acme.testing.manager.task.ManagerTaskCreateServiceTest,createTaskManagerPositive,8355,"[1] id=10, version=1, description=sample test 1, execution_period_initial_date=4/27/22 3:38 PM, execution_period_final_date=5/27/22 3:38 PM, isPrivate=0, title=sample test 1, url=https://www.google.com, workload=2.0, user_account_id=63",OK
2021-09-06 17:52:47.948,acme.testing.manager.task.ManagerTaskCreateServiceTest,createTaskManagerNegativeSpam,5928,"[1] id=17, version=1, description=sex sex sex sex sex sex, execution_period_initial_date=4/27/22 3:38 PM, execution_period_final_date=5/27/22 3:38 PM, isPrivate=0, title=sex sex sex sex sex sex, url=https://www.google.com, workload=2, user_account_id=63",OK
2021-09-06 17:52:54.13,acme.testing.manager.task.ManagerTaskCreateServiceTest,createTaskManagerNegativeInitialDate,5822,"[1] id=21, version=1, description=test sample 1, execution_period_initial_date=4/27/20 3:38 PM, execution_period_final_date=5/27/21 3:38 PM, isPrivate=0, title=test sample 1, url=https://www.google.com, workload=0, user_account_id=63",OK
2021-09-06 17:53:00.451,acme.testing.manager.task.ManagerTaskCreateServiceTest,createTaskManagerNegativeFinalDate,5956,"[1] id=21, version=1, description=test sample 1, execution_period_initial_date=5/27/22 3:38 PM, execution_period_final_date=4/27/22 3:38 PM, isPrivate=0, title=test sample 1, url=https://www.google.com, workload=0, user_account_id=63",OK
