timestamp,test-class,test-method,time,description,result
2021-09-08 20:23:26.631,acme.testing.controlCheck.AnonymousShoutCreateTest,createNegativeSergiolo2,2341,"[1] author=test sample1, text=text for test sample1, link=http://this.is.a.link.for.test.sample1, sergiolo2=negative format, sergiolo4=230 EUR",OK
2021-09-08 20:23:29.389,acme.testing.controlCheck.AnonymousShoutCreateTest,createNegativeSergiolo2,2336,"[2] author=test sample1, text=text for test sample1, link=http://this.is.a.link.for.test.sample1, sergiolo2=2222222, sergiolo4=230 EUR",OK
2021-09-08 20:23:32.069,acme.testing.controlCheck.AnonymousShoutCreateTest,createNegativeSergiolo2,2306,"[3] author=test sample1, text=text for test sample1, link=http://this.is.a.link.for.test.sample1, sergiolo2=212121/xx/aa, sergiolo4=230 EUR",OK
2021-09-08 20:23:34.804,acme.testing.controlCheck.AnonymousShoutCreateTest,createNegativeSergiolo2,2390,"[4] author=test sample1, text=text for test sample1, link=http://this.is.a.link.for.test.sample1, sergiolo2=210901/xx/aa, sergiolo4=230 EUR",OK
2021-09-08 20:23:37.451,acme.testing.controlCheck.AnonymousShoutCreateTest,createNegativeSergiolo3,2288,"[1] author=test sample1, text=text for test sample1, link=http://this.is.a.link.for.test.sample1, sergiolo4=230 EUR, sergiolo3=10/10/10 10:00 PM",OK
2021-09-08 20:23:40.17,acme.testing.controlCheck.AnonymousShoutCreateTest,createNegativeSergiolo3,2328,"[2] author=test sample1, text=text for test sample1, link=http://this.is.a.link.for.test.sample1, sergiolo4=230 EUR, sergiolo3=10/10/10 10:00PM",OK
2021-09-08 20:23:42.836,acme.testing.controlCheck.AnonymousShoutCreateTest,createNegativeSergiolo3,2292,"[3] author=test sample1, text=text for test sample1, link=http://this.is.a.link.for.test.sample1, sergiolo4=230 EUR, sergiolo3=negative test",OK
2021-09-08 20:23:45.5,acme.testing.controlCheck.AnonymousShoutCreateTest,createNegativeSergiolo3,2288,"[4] author=test sample1, text=text for test sample1, link=http://this.is.a.link.for.test.sample1, sergiolo4=230 EUR, sergiolo3=08/09/2026 14:35",OK
2021-09-08 20:23:48.223,acme.testing.controlCheck.AnonymousShoutCreateTest,createNegativeSergiolo4,2333,"[1] author=test sample1, text=text for test sample1, link=http://this.is.a.link.for.test.sample1, sergiolo4=negative test",OK
2021-09-08 20:23:50.916,acme.testing.controlCheck.AnonymousShoutCreateTest,createNegativeSergiolo4,2301,"[2] author=test sample1, text=text for test sample1, link=http://this.is.a.link.for.test.sample1, sergiolo4=xxxx",OK
2021-09-08 20:23:53.597,acme.testing.controlCheck.AnonymousShoutCreateTest,createNegativeSergiolo4,2275,"[3] author=test sample1, text=text for test sample1, link=http://this.is.a.link.for.test.sample1, sergiolo4=xxx EUR",OK
2021-09-08 20:23:56.247,acme.testing.controlCheck.AnonymousShoutCreateTest,createNegativeSergiolo4,2320,"[4] author=test sample1, text=text for test sample1, link=http://this.is.a.link.for.test.sample1, sergiolo4=.2.2 EUR",OK
2021-09-08 20:23:58.909,acme.testing.controlCheck.AnonymousShoutCreateTest,createNegativeSergiolo4,2289,"[5] author=test sample1, text=text for test sample1, link=http://this.is.a.link.for.test.sample1, sergiolo4=null",OK
2021-09-08 20:24:04.226,acme.testing.controlCheck.AnonymousShoutCreateTest,createPositive,4957,"[1] author=Lucia, text=¡soy una super programadora!, link=http://lucianieto.org, sergiolo2=/03/aa, sergiolo4=EUR 200.00, sergiolo5=true, index=0",OK
2021-09-08 20:24:09.168,acme.testing.controlCheck.AnonymousShoutCreateTest,createPositive,4593,"[2] author=Antonio, text=¡hola!, link=http://google.org, sergiolo2=/03/bb, sergiolo4=USD 200.00, sergiolo5=false, index=0",OK
