timestamp,test-class,test-method,time,description,result
2021-06-07 14:59:00.839,acme.testing.workplan.ManagerWorkplanUpdateServiceTest,updateWorkplanManagerPositive,10149,"[1] id=0, version=1, execution_period_final_date=12/24/22 5:30 PM, execution_period_initial_date=4/11/21 8:15 AM, isPrivate=0, title=Workplan 1, user_account_id=67, workload=504.00",OK
2021-06-07 14:59:07.685,acme.testing.workplan.ManagerWorkplanUpdateServiceTest,updateWorkplanManagerNegativeSpamTitleInvalidDateFormat,6408,"[1] id=0, version=1, execution_period_final_date=12/24/22 5:30 PM, execution_period_initial_date=4/11/21 8:15 AM, isPrivate=0, title=Workplan 1, user_account_id=67, workload=504.00",OK
2021-06-07 14:59:16.349,acme.testing.workplan.ManagerWorkplanUpdateServiceTest,updateWorkplanManagerNegativePrivateTaskPublicWorkplan,8308,"[1] id=5, version=1, execution_period_final_date=7/12/21 4:30 PM, execution_period_initial_date=4/29/21 8:00 AM, isPrivate=0, title=Workplan 13, user_account_id=67, workload=750.00",OK
