timestamp,test-class,test-method,time,description,result
2021-09-06 18:43:41.262,acme.testing.anonymous.task.AnonymousTaskTest,listMineTaskAnonymousPositive,1749,"[1] id=0, version=1, description=sample description, execution_period_final_date=6/30/21 3:30 PM, execution_period_initial_date=9/5/21 10:15 AM, isPrivate=0, title=sample test 1, url=https://github.com/serrojjim/dp2-june-16, workload=2.0, user_account_id=63",Expected value '6/30/21 3:30 PM' in attribute 2 of record 0, but found '11/30/21 3:30 PM'
2021-09-06 18:43:43.25,acme.testing.anonymous.task.AnonymousTaskTest,listMineTaskAnonymousPositive,1511,"[2] id=1, version=1, description=sample description, execution_period_final_date=6/30/21 3:30 PM, execution_period_initial_date=9/5/21 10:15 AM, isPrivate=0, title=sample task 2, url=https://github.com/serrojjim/dp2-june-16.com, workload=2.0, user_account_id=63",Expected value '6/30/21 3:30 PM' in attribute 2 of record 1, but found '11/30/21 3:30 PM'
2021-09-06 18:43:54.384,acme.testing.anonymous.task.AnonymousTaskShowServiceTest,showTaskAnonymousNegativeNonExist,587,"showTaskAnonymousNegativeNonExist()",OK
2021-09-06 18:43:56.446,acme.testing.anonymous.task.AnonymousTaskShowServiceTest,ShowTaskAnonymousPositive,1588,"[1] id=0, version=1, description=sample description, execution_period_final_date=11/30/21 3:30 PM, execution_period_initial_date=5/12/21 10:15 AM, isPrivate=0, title=sample test 1, url=https://github.com/serrojjim/dp2-june-16, workload=2.0, user_account_id=63",Expected value '5/12/21 10:15 AM' in attribute 1 of record 0, but found '9/5/21 10:15 AM'
2021-09-06 18:43:58.324,acme.testing.anonymous.task.AnonymousTaskShowServiceTest,ShowTaskAnonymousPositive,1518,"[2] id=1, version=1, description=sample description, execution_period_final_date=11/30/21 3:30 PM, execution_period_initial_date=5/12/21 10:15 AM, isPrivate=0, title=sample task 2, url=https://github.com/serrojjim/dp2-june-16.com, workload=2.0, user_account_id=63",Expected value '5/12/21 10:15 AM' in attribute 1 of record 1, but found '9/5/21 10:15 AM'
2021-09-06 18:43:59.139,acme.testing.anonymous.task.AnonymousTaskShowServiceTest,showTaskAnonymousNegativeFinished,439,"showTaskAnonymousNegativeFinished()",OK
