timestamp,test-class,test-method,time,description,result
2021-06-07 14:41:28.585,acme.testing.workplan.ManagerWorkplanChangePrivacyServiceTest,changeWorkplantoPrivatePositive,7046,"[1] id=0, version=1, execution_period_initial_date=2021-04-11 08:15:00, execution_period_final_date=2022-12-24 17:30:00, isPrivate=0, title=Workplan 1, user_account_id=67, workload=504",OK
2021-06-07 14:41:36.026,acme.testing.workplan.ManagerWorkplanChangePrivacyServiceTest,changeWorkplanToPublicPositive,7034,"[1] id=7, version=1, execution_period_initial_date=2021-04-12 10:15:00, execution_period_final_date=2021-04-21 15:30:00, isPrivate=1, title=Workplan 15, user_account_id=68, workload=0",OK
2021-06-07 14:41:42.7,acme.testing.workplan.ManagerWorkplanChangePrivacyServiceTest,changeWorkplanToPublicNegative,6093,"[1] id=2, version=1, execution_period_initial_date=2021-04-01 08:14:00, execution_period_final_date=2021-04-21 06:15:00, isPrivate=1, title=Workplan 13, user_account_id=67, workload=750",OK
2021-06-07 14:42:04.988,acme.testing.workplan.ManagerWorkplanDeleteServiceTest,deleteWorkplanPositive,9108,"[1] id=2, version=1, execution_period_initial_date=2021-12-23 16:30:00, execution_period_final_date=2021-10-24 06:15:00, isPrivate=1, title=Workplan 13, user_account_id=67, workload=2",OK
2021-06-07 14:42:09.895,acme.testing.workplan.ManagerWorkplanDeleteServiceTest,deleteAWorkplanThatDoesntExist,4562,"deleteAWorkplanThatDoesntExist()",OK
2021-06-07 14:42:10.61,acme.testing.workplan.ManagerWorkplanDeleteServiceTest,deleteWorkplanThatIDontOwn,369,"deleteWorkplanThatIDontOwn()",OK
2021-06-07 14:42:28.423,acme.testing.workplan.ManagerWorkplanShowServiceTest,showWorkplanManagerPositive,7052,"[1] id=0, version=1, execution_period_final_date=12/24/22 5:30 PM, execution_period_initial_date=4/11/21 8:15 AM, isPrivate=0, title=Workplan 1, user_account_id=67, workload=504.00",OK
2021-06-07 14:42:32.75,acme.testing.workplan.ManagerWorkplanShowServiceTest,showWorkplanManagerNegative,3998,"[1] id=0, version=1, execution_period_initial_date=12/24/22 5:30 PM, execution_period_final_date=4/11/21 8:15 AM, isPrivate=0, title=Workplan 1, user_account_id=67, workload=504.00",OK
2021-06-07 14:43:20.585,acme.testing.workplan.ManagerWorkplanUpdateServiceTest,updateWorkplanManagerPositive,36648,"[1] id=0, version=1, execution_period_final_date=12/24/22 5:30 PM, execution_period_initial_date=4/11/21 8:15 AM, isPrivate=0, title=Workplan 1, user_account_id=67, workload=504.00",Cannot find 'By.id: list'
2021-06-07 14:43:27.294,acme.testing.workplan.ManagerWorkplanUpdateServiceTest,updateWorkplanManagerNegativeSpamTitleInvalidDateFormat,6275,"[1] id=0, version=1, execution_period_final_date=12/24/22 5:30 PM, execution_period_initial_date=4/11/21 8:15 AM, isPrivate=0, title=Workplan 1, user_account_id=67, workload=504.00",OK
2021-06-07 14:43:36.198,acme.testing.workplan.ManagerWorkplanUpdateServiceTest,updateWorkplanManagerNegativePrivateTaskPublicWorkplan,8471,"[1] id=5, version=1, execution_period_final_date=7/12/21 4:30 PM, execution_period_initial_date=4/29/21 8:00 AM, isPrivate=0, title=Workplan 13, user_account_id=67, workload=750.00",OK
2021-06-07 14:43:56.645,acme.testing.workplan.ManagerWorkplanCreateServiceTest,createWorkplanManagerPositive,9877,"[1] id=7, version=1, execution_period_final_date=7/12/22 3:30 PM, execution_period_initial_date=5/12/22 10:15 AM, isPrivate=0, title=Test workplan, user_account_id=67, workload=0.00",OK
2021-06-07 14:44:02.448,acme.testing.workplan.ManagerWorkplanCreateServiceTest,createWorkplanManagerNegative,5424,"[1] id=0, version=1, execution_period_final_date=7/12/21 3:30 PM, execution_period_initial_date=8/12/21 10:15 AM, isPrivate=0, title=sex sex sex, user_account_id=19, workload=0.00",OK
